from_stop_id,to_stop_id,transfer_type,min_transfer_time
4726916,4036827,2,82
5675643,4726944,2,81
4726942,2210,2,259
4726919,3811232,2,64
4726917,4036827,2,84
4009641,4726916,2,42
4726957,4036981,2,58
4009641,4726917,2,59
4726918,2102,2,211
4726942,2211,2,439
4726943,3926299,2,81
4726920,3893341,2,21
4726941,3764982,2,89
4726920,3893342,2,24
3343767,4726922,2,242
4997021,4726938,2,104
4726914,4473190,2,83
3343767,4726921,2,236
5709988,4726960,2,90
4726922,4008283,2,103
4726941,4044995,2,89
4009665,4726916,2,56
4726942,4459260,2,72
4726938,4037188,2,50
7153046,4726946,2,17
4726938,4037189,2,75
7153046,4726945,2,18
3343770,4726962,2,282
3343770,4726961,2,192
4726963,4036748,2,85
4009665,4726917,2,72
6423468,4726955,2,36
4726914,4008888,2,83
4996978,4726940,2,89
4726963,4036749,2,74
3343779,4726934,2,286
4726919,3764798,2,18
5158082,4726963,2,83
5747306,4726914,2,58
4726921,3811286,2,87
4726943,2210,2,198
5747306,4726915,2,65
4726943,2211,2,378
4726929,2051,2,213
3764504,4726923,2,108
4726938,4044994,2,104
4726939,3764983,2,64
4726939,3764984,2,54
3343767,4726919,2,256
3343767,4726918,2,249
3343767,4726920,2,234
4726955,1647,2,254
3343785,4726948,2,195
3343785,4726949,2,209
4726918,3893340,2,18
2008,4726950,2,284
5710087,4726923,2,108
4726948,3813103,2,105
3343786,4726939,2,241
3343786,4726938,2,197
4726946,1166833,2,207
3716895,4726946,2,28
4726946,1166832,2,207
4726915,5657328,2,64
4726916,3926214,2,18
4726958,2001,2,268
4036931,4726928,2,97
4472689,4726914,2,45
5158081,4726914,2,79
4726916,4008836,2,48
4997021,4726949,2,105
4997021,4726948,2,64
3343785,4726938,2,197
3343785,4726939,2,241
4726931,3926395,2,57
4726947,1166833,2,215
4726947,1166832,2,215
4726963,4473191,2,58
4726963,4473190,2,58
4726922,3747818,2,37
4726914,4035038,2,83
4726914,4035039,2,83
4996979,4726941,2,89
4726957,3764611,2,58
3765153,4726914,2,79
4726914,4473191,2,83
4726944,3926339,2,93
4726946,3926339,2,70
4037283,4726914,2,79
3716944,4726916,2,42
2112,4726938,2,197
4726941,4036639,2,32
4726938,4036643,2,50
4726932,1647,2,229
3343784,4726951,2,196
4726916,4036660,2,82
4726949,2111,2,209
4726946,2210,2,356
6217415,4726963,2,58
4726946,2211,2,216
7153048,4726944,2,28
3716944,4726917,2,59
4726944,4044996,2,80
2112,4726939,2,241
4726928,2100,2,278
7153048,4726942,2,98
4726930,3926393,2,92
4997019,4726950,2,65
4726931,6591451,2,57
4726956,967989,2,279
4726938,3747835,2,104
4726956,967988,2,279
6961993,4726914,2,79
4726915,3926217,2,92
3807572,4726961,2,50
4726919,5018223,2,18
4726921,3764800,2,97
4726921,3764801,2,95
4726917,4036750,2,21
5018395,4726957,2,58
4726914,2469,2,214
4726942,3926299,2,72
4726916,1890,2,198
4726914,1166840,2,214
3343774,4726959,2,198
4726915,4035038,2,48
2468,4726914,2,214
3343774,4726958,2,268
2468,4726915,2,205
4726915,4035039,2,48
4726914,1166841,2,214
4726938,3813103,2,84
4726948,3748057,2,92
3765256,4726944,2,93
3765256,4726945,2,83
3343784,4726936,2,200
4726921,4459244,2,78
3765256,4726946,2,70
4726922,4008204,2,76
4726937,3747870,2,65
4726961,1702,2,192
4726963,4016359,2,6
4726945,2211,2,207
4726945,2210,2,373
4726942,3926298,2,70
4726958,1678,2,189
4726945,3813086,2,22
4996983,4726936,2,20
4037267,4726934,2,28
4726921,5018187,2,68
4726921,5018186,2,62
3765151,4726963,2,96
3749776,4726961,2,50
2467,4726963,2,200
4726922,3893344,2,37
4726917,4016360,2,18
4726921,4008203,2,97
4726921,4008204,2,7
4726922,3893343,2,62
1722,4726914,2,214
4726942,1955,2,259
1723,4726963,2,200
1722,4726915,2,205
4726921,4008202,2,93
4726942,1956,2,439
4726914,4036749,2,58
4009664,4726963,2,58
6423468,4726932,2,91
4726960,4036824,2,90
3740516,4726917,2,84
4726914,4036747,2,79
3740516,4726916,2,82
4726915,5657267,2,107
4726948,2111,2,195
4726949,3747834,2,21
4726949,3747835,2,105
6423469,4726955,2,59
4726922,3926208,2,37
4726917,5018222,2,21
4726922,3926209,2,62
3687078,4726938,2,50
4726915,4008888,2,48
1765,4726927,2,210
3687078,4726939,2,58
4726932,2527,2,229
4726938,3747869,2,21
1722,4726963,2,200
4726938,3813079,2,104
4726922,3926210,2,105
4726941,4459261,2,73
4997016,4726953,2,28
3765147,4726921,2,105
4726940,3764981,2,89
5018334,4726957,2,58
4726943,4036207,2,81
4726959,2190,2,198
4726949,4037189,2,88
4726963,1724,2,200
4726949,4037188,2,60
2285,4726917,2,186
2285,4726916,2,198
3687078,4726949,2,60
4472691,4726963,2,96
5747305,4726963,2,83
3343777,4726956,2,279
3343777,4726955,2,254
3343776,4726958,2,189
4996987,4726932,2,80
3749916,4726914,2,79
3343776,4726957,2,281
4996986,4726933,2,21
4726915,1166840,2,205
4726915,1166841,2,205
4726939,4459257,2,54
1723,4726915,2,205
4726951,3747871,2,67
1723,4726914,2,214
3716945,4726914,2,69
1889,4726917,2,186
1889,4726916,2,198
4726960,1712,2,198
4726943,1956,2,378
4726920,5018187,2,50
3343775,4726958,2,189
4726920,5018186,2,84
3343775,4726957,2,281
4726915,4459240,2,65
2164,4726950,2,284
4036865,4726957,2,58
4726943,1955,2,198
4726920,5138223,2,104
4037265,4726939,2,105
4037265,4726938,2,21
4726941,4037186,2,89
4726943,3747837,2,81
4726916,2286,2,198
4726960,4016276,2,105
5675642,4726942,2,72
4726918,4036753,2,18
5018389,4726928,2,97
4726963,5657328,2,90
2112,4726948,2,195
5675642,4726943,2,81
3740516,4726963,2,96
2112,4726949,2,209
4726945,3926339,2,83
4726938,3748094,2,84
4726916,4036659,2,18
4726938,2111,2,197
4726949,4036643,2,60
4726929,3926436,2,63
4726939,3748094,2,40
4726945,1956,2,207
3740559,4726915,2,57
3740559,4726914,2,67
4726941,4459259,2,89
4726945,1955,2,373
3343771,4726960,2,198
1683,4726931,2,220
4726915,4045022,2,57
5710046,4726960,2,90
4726963,3749690,2,67
4726962,2447,2,282
4726917,3747811,2,18
4726918,2053,2,211
1767,4726932,2,229
1847,4726922,2,242
4726919,4008890,2,18
4726943,1166832,2,258
4726915,3749690,2,57
4726943,1166833,2,258
4037263,4726940,2,89
4726918,3747814,2,18
4726914,3747809,2,95
4726915,2469,2,205
4726942,4044996,2,70
4726921,3893342,2,95
4009664,4726915,2,48
4726921,3893341,2,97
4009664,4726914,2,83
4726921,5138223,2,87
4726963,3749688,2,90
6591843,4726931,2,57
4726963,3749689,2,55
4726919,3926213,2,18
4726929,6591453,2,63
3343773,4726959,2,198
3687251,4726949,2,88
3343773,4726958,2,268
2467,4726914,2,214
2467,4726915,2,205
4726949,4037243,2,105
4726963,1166841,2,200
4726963,1166840,2,200
4726916,3764797,2,18
4726958,2488,2,189
3343783,4726936,2,200
4726914,3747810,2,95
4726915,3749688,2,64
4726915,1724,2,205
4726919,4036752,2,18
6217416,4726915,2,48
6217416,4726914,2,83
3687252,4726949,2,60
5710029,4726923,2,108
4726920,3926211,2,21
3740515,4726915,2,64
4726914,3764795,2,45
4726949,3813079,2,105
4726914,3764794,2,45
4726946,4036206,2,28
4726948,3747835,2,64
3807629,4726928,2,95
4726916,3747812,2,18
4726948,3764984,2,20
4471844,4726946,2,17
4471844,4726945,2,18
4726955,4044990,2,101
4726939,4036642,2,64
4726939,4036643,2,58
2374,4726927,2,210
1847,4726919,2,256
4996980,4726939,2,64
4726943,4037184,2,81
3687252,4726939,2,58
3687252,4726938,2,50
3343768,4726922,2,242
3343777,4726932,2,229
1847,4726918,2,249
4726917,4008889,2,21
4726963,3926217,2,6
3716873,4726914,2,69
3807568,4726957,2,88
4726960,2457,2,198
2224141,4726920,2,99
1847,4726920,2,234
4996985,4726934,2,28
1847,4726921,2,236
5709986,4726925,2,52
4726918,4036658,2,18
4726921,4008283,2,99
3343768,4726918,2,249
2224141,4726918,2,45
3687079,4726938,2,75
2224141,4726919,2,37
4726949,2062,2,209
5231610,4726941,2,32
3749777,4726923,2,108
5231614,4726941,2,73
4726962,1702,2,282
3716874,4726916,2,56
1846,4726921,2,236
3765193,4726945,2,18
1846,4726922,2,242
4726946,3813086,2,36
4726946,3813085,2,28
7153158,4726946,2,70
3765193,4726946,2,17
4726932,967989,2,229
3716874,4726917,2,72
4726932,967988,2,229
4726939,4044993,2,104
3343768,4726919,2,256
4726953,4044991,2,28
2196,4726924,2,208
4726939,4037188,2,58
4726939,4037187,2,64
4997017,4726952,2,26
4726939,4037189,2,54
3343768,4726920,2,234
4726951,4044992,2,20
3343768,4726921,2,236
4726941,3813080,2,89
3687079,4726939,2,54
5454900,4726960,2,105
1846,4726918,2,249
1846,4726919,2,256
4726921,4036756,2,78
4726948,3748093,2,108
4996981,4726939,2,105
4726948,3748094,2,105
4726956,2527,2,279
5675644,4726946,2,28
7153158,4726944,2,93
3343769,4726962,2,282
3343769,4726961,2,192
7153158,4726945,2,83
3764739,4726914,2,94
4726944,3764980,2,80
4996981,4726938,2,21
4726919,3893339,2,18
4726961,4016319,2,59
1846,4726920,2,234
4726917,4036660,2,84
4726920,3926210,2,77
6423466,4726955,2,101
4726936,3747871,2,53
4472774,4726963,2,85
4726918,5138031,2,81
4726939,2062,2,241
3749785,4726960,2,90
4726920,3747816,2,24
4726961,2447,2,192
2313,4726918,2,249
4726941,3673589,2,73
2313,4726919,2,256
4726919,3747813,2,18
4726919,2053,2,192
6591844,4726929,2,63
1764,4726927,2,210
3740515,4726963,2,90
4037266,4726936,2,20
4726922,4016335,2,62
4726922,4016334,2,37
4726955,2527,2,254
4997018,4726951,2,20
3687079,4726949,2,88
4726944,2210,2,310
3765148,4726921,2,68
4726944,2211,2,190
4726941,3673590,2,32
4726963,5657268,2,99
3764503,4726961,2,59
3765148,4726920,2,50
3687253,4726948,2,92
6217415,4726915,2,48
6217415,4726914,2,83
4726916,5018189,2,48
5231611,4726944,2,80
5231611,4726942,2,70
4726944,4035991,2,80
5231612,4726946,2,28
4726940,3813081,2,89
3343783,4726951,2,196
4726938,2062,2,197
3687300,4726948,2,108
2313,4726921,2,236
2313,4726922,2,242
3765151,4726916,2,82
3765151,4726917,2,84
2313,4726920,2,234
6423466,4726932,2,67
4726916,5018190,2,82
4726957,1678,2,281
